"journal_name","journal_url"
"Biomaterials","https://www.sciencedirect.com/science/journal/01429612"
"Biomedical_Signal_Processing_and_Control","https://www.sciencedirect.com/science/journal/17468094"
"Biometric_Technology_Today","https://www.sciencedirect.com/science/journal/09694765"
"Biomolecular_Engineering","https://www.sciencedirect.com/science/journal/13890344"
"Bioorganic_Chemistry","https://www.sciencedirect.com/science/journal/00452068"
"Bioorganic_and_Medicinal_Chemistry","https://www.sciencedirect.com/science/journal/09680896"
"Bioorganic_and_Medicinal_Chemistry_Letters","https://www.sciencedirect.com/science/journal/0960894X"
"Biophysical_Chemistry","https://www.sciencedirect.com/science/journal/03014622"
"Bioprinting","https://www.sciencedirect.com/science/journal/24058866"
"Bioresource_Technology","https://www.sciencedirect.com/science/journal/09608524"
"Bioresource_Technology_Reports","https://www.sciencedirect.com/science/journal/2589014X"
"Biosensors","https://www.sciencedirect.com/science/journal/0265928X"
"Biosensors_and_Bioelectronics","https://www.sciencedirect.com/science/journal/09565663"
"Biosurface_and_Biotribology","https://www.sciencedirect.com/science/journal/24054518"
"Biosystems","https://www.sciencedirect.com/science/journal/03032647"
"Biosystems_Engineering","https://www.sciencedirect.com/science/journal/15375110"
"Biotechnology_Advances","https://www.sciencedirect.com/science/journal/07349750"
"Biotechnology_Reports","https://www.sciencedirect.com/science/journal/2215017X"
"Biotribology","https://www.sciencedirect.com/science/journal/23525738"
"Boletín_de_la_Sociedad_Española_de_Cerámica_y_Vidrio","https://www.sciencedirect.com/science/journal/03663175"
"Building_and_Environment","https://www.sciencedirect.com/science/journal/03601323"
"Building_Science","https://www.sciencedirect.com/science/journal/00073628"
"Bulletin_des_Sciences_Mathématiques","https://www.sciencedirect.com/science/journal/00074497"
"CAAI_Transactions_on_Intelligence_Technology","https://www.sciencedirect.com/science/journal/24682322"
"Calphad","https://www.sciencedirect.com/science/journal/03645916"
"Canadian_Metallurgical_Quarterly","https://www.sciencedirect.com/science/journal/00084433"
"Carbohydrate_Polymers","https://www.sciencedirect.com/science/journal/01448617"
"Carbohydrate_Research","https://www.sciencedirect.com/science/journal/00086215"
"Carbon","https://www.sciencedirect.com/science/journal/00086223"
"Carbon_Resources_Conversion","https://www.sciencedirect.com/science/journal/25889133"
"Card_Technology_Today","https://www.sciencedirect.com/science/journal/09652590"
"Case_Studies_in_Construction_Materials","https://www.sciencedirect.com/science/journal/22145095"
"Case_Studies_in_Engineering_Failure_Analysis","https://www.sciencedirect.com/science/journal/22132902"
"Case_Studies_in_Fire_Safety","https://www.sciencedirect.com/science/journal/2214398X"
"Case_Studies_in_Mechanical_Systems_and_Signal_Processing","https://www.sciencedirect.com/science/journal/23519886"
"Case_Studies_in_Nondestructive_Testing_and_Evaluation","https://www.sciencedirect.com/science/journal/22146571"
"Case_Studies_in_Structural_Engineering","https://www.sciencedirect.com/science/journal/22143998"
"Case_Studies_in_Thermal_Engineering","https://www.sciencedirect.com/science/journal/2214157X"
"Case_Studies_on_Transport_Policy","https://www.sciencedirect.com/science/journal/2213624X"
"Catalysis_Communications","https://www.sciencedirect.com/science/journal/15667367"
"Catalysis_Today","https://www.sciencedirect.com/science/journal/09205861"
"CATENA","https://www.sciencedirect.com/science/journal/03418162"
"Cell_Chemical_Biology","https://www.sciencedirect.com/science/journal/24519456"
